date,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao
2012-05-01,8,6,1,3,3
2012-06-01,7,8,1,3,3
2012-07-01,7,7,1,2,3
2012-08-01,9,8,1,2,3
2012-09-01,8,8,2,2,2
2012-10-01,9,8,1,2,2
2012-11-01,9,9,1,2,2
2012-12-01,13,9,2,3,3
2013-01-01,13,7,1,3,3
2013-02-01,12,8,1,2,2
2013-03-01,12,8,1,2,2
2013-04-01,14,6,1,2,3
2013-05-01,13,7,2,3,4
2013-06-01,22,12,3,5,5
2013-07-01,24,14,4,6,6
2013-08-01,30,17,6,7,8
2013-09-01,28,16,6,6,8
2013-10-01,27,14,4,5,6
2013-11-01,31,21,4,7,7
2013-12-01,37,20,6,8,9
2014-01-01,37,20,5,8,9
2014-02-01,38,18,7,8,9
2014-03-01,34,17,5,7,9
2014-04-01,46,22,6,8,10
2014-05-01,52,100,7,11,15
2014-06-01,53,42,7,9,11
2014-07-01,54,32,9,8,11
2014-08-01,47,22,10,8,9
2014-09-01,44,17,10,6,9
2014-10-01,41,17,6,6,10
2014-11-01,35,14,5,5,7
2014-12-01,39,13,6,6,10
2015-01-01,37,11,5,5,8
2015-02-01,35,11,4,5,7
2015-03-01,38,9,5,5,9
2015-04-01,61,12,8,9,32
2015-05-01,51,11,7,11,23
2015-06-01,52,10,7,8,15
2015-07-01,51,10,7,7,16
2015-08-01,42,8,6,6,9
2015-09-01,36,7,8,5,7
2015-10-01,33,6,5,5,6
2015-11-01,34,6,5,5,5
2015-12-01,44,6,6,7,5
2016-01-01,45,7,5,6,6
2016-02-01,44,6,7,5,6
2016-03-01,44,6,8,6,5
2016-04-01,48,6,8,6,5
2016-05-01,41,5,7,7,5
2016-06-01,53,7,9,8,6
2016-07-01,50,6,8,7,5
2016-08-01,44,5,8,5,4
2016-09-01,42,5,11,6,3
2016-10-01,38,4,7,5,3
2016-11-01,34,5,6,5,4
2016-12-01,45,5,6,6,4
2017-01-01,40,5,6,6,4
2017-02-01,37,4,6,8,4
2017-03-01,38,4,5,5,3
2017-04-01,45,4,5,6,4
2017-05-01,35,4,5,7,4
2017-06-01,36,4,5,5,3
2017-07-01,42,4,6,6,4
2017-08-01,37,4,6,5,3
2017-09-01,35,3,7,6,3
2017-10-01,33,3,5,5,3
2017-11-01,32,3,5,5,2
2017-12-01,40,3,5,7,3
2018-01-01,35,3,4,6,3
2018-02-01,32,3,4,5,3
2018-03-01,31,2,4,6,3
2018-04-01,42,3,5,5,3
2018-05-01,34,2,4,8,3
2018-06-01,32,2,4,5,2
2018-07-01,28,2,3,4,2
2018-08-01,24,2,3,4,2
2018-09-01,31,1,5,3,1
2018-10-01,21,2,3,3,1
2018-11-01,23,2,3,4,2
2018-12-01,26,2,4,5,2
2019-01-01,28,2,4,5,2
2019-02-01,22,2,4,4,1
2019-03-01,22,1,4,3,1
2019-04-01,26,2,6,3,2
2019-05-01,19,2,4,5,2
2019-06-01,20,2,3,3,2
2019-07-01,20,2,3,3,2
2019-08-01,17,1,3,3,1
2019-09-01,13,1,4,2,1
2019-10-01,13,1,3,2,1
2019-11-01,16,1,2,3,1
2019-12-01,22,2,4,5,2
2020-01-01,21,1,53,4,2
2020-02-01,15,1,6,3,1
2020-03-01,19,1,5,4,2
2020-04-01,32,2,17,6,3
2020-05-01,23,2,11,9,4
2020-06-01,24,2,8,5,3
2020-07-01,23,2,6,4,2
2020-08-01,21,2,6,4,2
